1810,47.0,23.567295722,200100
1820,47.0,23.702783386,201200
1830,47.0,23.812584913,202300
1840,47.0,23.939131951,203400
1850,47.0,24.066590675,204500
1860,47.0,24.21260207,205600
1870,47.0,24.322672571,206700
1880,48.0,24.451901767,207800
1890,47.0,24.584668082,208900
1900,47.0,24.700085336,210000
1910,47.0,24.837372384,211100
1920,47.0,24.953752518,212200
1930,47.0,25.076426367,213300
1940,46.0,25.208946888,214400
1950,48.0,25.332014482,215500
1960,47.0,25.457997483,216600
1970,48.0,25.600123593,217700
1980,47.0,25.753881143,218800
1990,47.0,25.900320161,219900
2000,47.0,26.033588064,221000
2010,46.0,26.159546353,222100
2020,47.0,26.280447763,223200
2030,47.0,26.407796474,224300
2040,47.0,26.523193009,225400
2050,47.0,26.669759445,226500
2060,49.0,26.785608359,227600
2070,48.0,26.907717419,228700
2080,49.0,27.048846794,229800
2090,49.0,27.18280757,230900
2100,50.0,27.347761167,232000
2110,50.0,27.485072404,233100
2120,50.0,27.622607754,234200
2130,48.0,27.749409637,235300
2140,49.0,27.889729604,236400
2150,49.0,28.022113288,237500
2160,49.0,28.161936531,238600
2170,48.0,28.288690715,239700
2180,49.0,28.412448929,240800
2190,48.0,28.539020523,241900
2200,49.0,28.679789496,243000
2210,49.0,28.82690963,244100
2220,49.0,28.946321167,245200
2230,50.0,29.06296908,246300
2240,49.0,29.19154473,247400
2250,49.0,29.319201136,248500
2260,50.0,29.476562356,249600
2270,49.0,29.606057118,250700
2280,49.0,29.733334042,251800
2290,49.0,29.851354342,252900
2300,51.0,29.986398619,254000
2310,49.0,30.127403241,255100
2320,50.0,30.265813821,256200
2330,49.0,30.392529963,257300
2340,49.0,30.533389274,258400
2350,50.0,30.661715602,259500
2360,49.0,30.78902509,260600
2370,50.0,30.941345265,261700
2380,50.0,31.077161795,262800
2390,49.0,31.20188444,263900
2400,49.0,31.322759103,265000
2410,50.0,31.438943555,266100
2420,52.0,31.559525826,267200
2430,50.0,31.676473701,268300
2440,53.0,31.803773246,269400
2450,50.0,31.946134541,270500
2460,50.0,32.05704667,271600
2470,52.0,32.185465474,272700
2480,50.0,32.307500329,273800
2490,50.0,32.437602961,274900
2500,50.0,32.568538251,276000
2510,50.0,32.696987845,277100
2520,52.0,32.819041975,278200
2530,49.0,32.944911899,279300
2540,50.0,33.088187727,280400
2550,49.0,33.206029754,281500
2560,50.0,33.33064325,282600
2570,50.0,33.450541189,283700
2580,50.0,33.573971931,284800
2590,50.0,33.692402216,285900
2600,50.0,33.807327679,287000
2610,49.0,33.954832315,288100
2620,49.0,34.094711252,289200
2630,50.0,34.227736269,290300
2640,50.0,34.360429635,291400
2650,49.0,34.469975094,292500
2660,50.0,34.600689248,293600
2670,50.0,34.736181391,294700
2680,50.0,34.864474482,295800
2690,50.0,34.983090067,296900
2700,53.0,35.11755432,298000
2710,50.0,35.258524469,299100
2720,50.0,35.4048265,300200
2730,51.0,35.541237763,301300
2740,50.0,35.643429893,302400
2750,50.0,35.775923047,303500
2760,51.0,35.900118235,304600
2770,49.0,36.020359182,305700
2780,50.0,36.134161969,306800
2790,50.0,36.264811831,307900
2800,50.0,36.382681756,309000
2810,49.0,36.561309036,310100
2820,51.0,36.692336714,311200
2830,49.0,36.855236893,312300
2840,50.0,36.988769689,313400
2850,50.0,37.125831686,314500
2860,50.0,37.269948878,315600
2870,50.0,37.415068476,316700
2880,49.0,37.529745881,317800
2890,50.0,37.666404116,318900
2900,50.0,37.804524756,320000
2910,52.0,37.970034179,321100
2920,50.0,38.11170343,322200
2930,50.0,38.249833405,323300
2940,50.0,38.377140231,324400
2950,50.0,38.50574905,325500
2960,50.0,38.624443404,326600
2970,53.0,38.751689527,327700
2980,52.0,38.887967052,328800
2990,53.0,39.003583186,329900
3000,52.0,39.14727452,331000
3010,51.0,39.275813636,332100
3020,52.0,39.390494231,333200
3030,50.0,39.515254272,334300
3040,57.0,39.672216871,335400
3050,53.0,39.812597744,336500
3060,53.0,39.931123679,337600
3070,51.0,40.059773156,338700
3080,53.0,40.193256552,339800
3090,52.0,40.331289957,340900
3100,50.0,40.451796294,342000
3110,51.0,40.576589505,343100
3120,51.0,40.699773706,344200
3130,53.0,40.817055284,345300
3140,53.0,40.937149337,346400
3150,50.0,41.07098681,347500
