iterations,fitness,time,fevals
0,85.0,0.311334367,1000
10,94.0,0.527062319,2100
20,94.0,0.695391791,3200
30,94.0,1.015474571,4300
40,94.0,1.160404422,5400
50,94.0,1.333547124,6500
60,95.0,1.510683351,7600
70,95.0,1.652346796,8700
80,94.0,1.801659368,9800
90,95.0,2.08045963,10900
100,95.0,2.23130082,12000
110,95.0,2.60598029,13100
120,96.0,2.848514447,14200
130,95.0,3.100995821,15300
140,95.0,3.265976284,16400
150,94.0,3.547838702,17500
160,94.0,3.809403496,18600
170,95.0,3.985618455,19700
180,95.0,4.155582318,20800
190,95.0,4.335095612,21900
200,95.0,4.567843316,23000
210,95.0,4.749605741,24100
220,96.0,4.965945885,25200
230,96.0,5.081638636,26300
240,95.0,5.296119436,27400
250,96.0,5.462685569,28500
260,97.0,5.673952462,29600
270,96.0,5.911640998,30700
280,97.0,6.099849882,31800
290,97.0,6.306564167,32900
300,96.0,6.604742918,34000
310,97.0,6.908877412,35100
320,97.0,7.213014022,36200
330,96.0,7.494449369,37300
340,96.0,7.681622379,38400
350,97.0,7.843783472,39500
360,96.0,8.063096865,40600
370,96.0,8.393255032,41700
380,97.0,8.575031384,42800
390,97.0,8.895211999,43900
400,97.0,9.058745757,45000
410,96.0,9.370113359,46100
420,96.0,9.573644829,47200
430,96.0,9.783884121,48300
440,97.0,9.922233226,49400
450,97.0,10.060469331,50500
460,97.0,10.183141765,51600
470,96.0,10.288928075,52700
480,96.0,10.420179387,53800
490,96.0,10.629317154,54900
500,96.0,10.744576145,56000
510,97.0,10.874046239,57100
520,97.0,11.004912564,58200
530,97.0,11.135425483,59300
540,97.0,11.254737253,60400
550,97.0,11.39829401,61500
560,97.0,11.533764455,62600
570,97.0,11.642293432,63700
580,97.0,11.766614432,64800
590,97.0,11.903734068,65900
600,97.0,12.042099524,67000
610,98.0,12.163599301,68100
620,98.0,12.298518968,69200
630,98.0,12.434380057,70300
640,98.0,12.577107304,71400
650,98.0,12.701216503,72500
660,98.0,12.843264992,73600
670,98.0,12.980925889,74700
680,98.0,13.114224626,75800
690,99.0,13.241691481,76900
700,99.0,13.38072519,78000
710,99.0,13.504687803,79100
720,99.0,13.632484882,80200
730,98.0,13.768106842,81300
740,98.0,13.899483462,82400
750,98.0,14.048010229,83500
760,98.0,14.183666757,84600
770,98.0,14.337975914,85700
780,98.0,14.47489025,86800
790,99.0,14.6319235,87900
800,99.0,14.766167573,89000
810,98.0,14.89536242,90100
820,99.0,15.018797298,91200
830,98.0,15.14665037,92300
840,99.0,15.278640939,93400
850,99.0,15.44434248,94500
860,99.0,15.579370811,95600
870,99.0,15.73304856,96700
880,98.0,15.87872165,97800
890,98.0,16.019403561,98900
900,98.0,16.160916756,100000
910,98.0,16.319586159,101100
920,98.0,16.463164182,102200
930,98.0,16.620780861,103300
940,99.0,16.793991264,104400
950,98.0,16.94481443,105500
960,98.0,17.090843916,106600
970,99.0,17.238959057,107700
980,99.0,17.388404647,108800
990,99.0,17.524084967,109900
1000,99.0,17.690015595,111000
1010,99.0,17.842542411,112100
1020,98.0,17.98492876,113200
1030,99.0,18.154809667,114300
1040,98.0,18.284519008,115400
1050,99.0,18.451481917,116500
1060,98.0,18.61287954,117600
1070,98.0,18.731489986,118700
1080,99.0,18.895117628,119800
1090,99.0,19.051119835,120900
1100,99.0,19.191717647,122000
1110,98.0,19.344235566,123100
